sudo alp ltsv --file=/var/log/nginx/access.log --sort sum --reverse -o count,method,uri,min,max,sum,avg,p99,1xx,2xx,3xx,4xx,5xx -m "/api/player/competition/[a-z0-9-]+/ranking,/api/player/player/\w+,/api/organizer/competition/[a-z0-9-]+/score,/api/organizer/competition/\w+/finish,/api/organizer/player/\w+/disqualified"
+-------+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+--------+-----+-----+-----+-----+-----+
| COUNT | METHOD |                                   URI                                   |  MIN  |  MAX   |   SUM   |  AVG  |  P99   | 1XX | 2XX | 3XX | 4XX | 5XX |
+-------+--------+-------------------------------------------------------------------------+-------+--------+---------+-------+--------+-----+-----+-----+-----+-----+
|   727 | GET    | /api/player/competition/[a-z0-9-]+/ranking                              | 0.004 | 14.644 | 982.824 | 1.352 |  9.864 |   0 | 685 |   0 |  42 |   0 |
|   512 | GET    | /api/player/player/\w+                                                  | 0.004 | 14.652 | 743.632 | 1.452 |  9.968 |   0 | 474 |   0 |  38 |   0 |
|    59 | POST   | /api/organizer/competition/[a-z0-9-]+/score                             | 0.004 | 11.696 | 103.252 | 1.750 | 11.696 |   0 |  51 |   0 |   8 |   0 |
|    21 | GET    | /api/admin/tenants/billing                                              | 0.928 | 22.444 |  90.324 | 4.301 | 22.444 |   0 |  20 |   0 |   1 |   0 |
|    21 | GET    | /api/organizer/billing                                                  | 0.008 | 12.312 |  33.616 | 1.601 | 12.312 |   0 |  21 |   0 |   0 |   0 |
|     7 | POST   | /api/organizer/players/add                                              | 1.384 |  4.060 |  17.664 | 2.523 |  4.060 |   0 |   7 |   0 |   0 |   0 |
|     2 | POST   | /initialize                                                             | 5.304 |  5.304 |   5.304 | 2.652 |  5.304 |   0 |   1 |   0 |   0 |   1 |
|   107 | GET    | /api/player/competitions                                                | 0.004 |  0.172 |   3.600 | 0.034 |  0.104 |   0 |  95 |   0 |  12 |   0 |
|    41 | POST   | /api/organizer/competitions/add                                         | 0.008 |  0.056 |   1.088 | 0.027 |  0.056 |   0 |  40 |   0 |   1 |   0 |
|    11 | POST   | /api/admin/tenants/add                                                  | 0.012 |  0.372 |   0.816 | 0.074 |  0.372 |   0 |   6 |   0 |   5 |   0 |
|    27 | GET    | /api/organizer/players                                                  | 0.004 |  0.036 |   0.348 | 0.013 |  0.036 |   0 |  27 |   0 |   0 |   0 |
|    13 | POST   | /api/organizer/player/\w+/disqualified                                  | 0.012 |  0.048 |   0.340 | 0.026 |  0.048 |   0 |  12 |   0 |   1 |   0 |
|     1 | POST   | /api/organizer/competition/74052431-1cdf-4ca6-8254-0f74cddaa0a3/finish  | 0.064 |  0.064 |   0.064 | 0.064 |  0.064 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/7d2eb9e7-6626-46cb-8d15-06fcd6216c5d/finish  | 0.056 |  0.056 |   0.056 | 0.056 |  0.056 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/d25e4b3a-a41e-4df3-a2c1-a007eb973173/finish  | 0.052 |  0.052 |   0.052 | 0.052 |  0.052 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/1bba454c-cc57-418c-ab31-40cf9e9daee5/finish  | 0.044 |  0.044 |   0.044 | 0.044 |  0.044 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/bd748e0b-e99b-4b79-8dd7-df60f042a5e7/finish  | 0.040 |  0.040 |   0.040 | 0.040 |  0.040 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/7d6cd88a-40a4-437a-ab73-9bac89b83bf1/finish  | 0.040 |  0.040 |   0.040 | 0.040 |  0.040 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/3264407a-eacd-4baf-912b-550ea08736a0/finish  | 0.036 |  0.036 |   0.036 | 0.036 |  0.036 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/0696b7cb-039e-4b04-95ae-379789350812/finish  | 0.036 |  0.036 |   0.036 | 0.036 |  0.036 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/44ea88c3-a964-4562-a069-b6a76fc80f43/finish  | 0.032 |  0.032 |   0.032 | 0.032 |  0.032 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/65589a3b-3845-4104-bb38-1d16ed28585c/finish  | 0.032 |  0.032 |   0.032 | 0.032 |  0.032 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/8e69f4d5-4d08-46e5-b87c-e545d65532c9/finish  | 0.028 |  0.028 |   0.028 | 0.028 |  0.028 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/f82dbc00-59c5-4b2e-ba90-3d9de6b9a90f/finish  | 0.028 |  0.028 |   0.028 | 0.028 |  0.028 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/368f919c-05c1-475a-ac13-359044791bee/finish  | 0.024 |  0.024 |   0.024 | 0.024 |  0.024 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/fa448f3f-e991-400d-9f48-9943e609a529/finish  | 0.024 |  0.024 |   0.024 | 0.024 |  0.024 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/7fdaca51-c085-41a9-add7-266a91d25d24/finish  | 0.024 |  0.024 |   0.024 | 0.024 |  0.024 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/dfd6d66c-6e36-4864-83a1-6e4a1cbcb244/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/072ce5b4-d060-470c-b88e-fbbdec12f3f1/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/player/05cbb501-c2bd-42a0-a33c-c5e6f634aa2c/disqualified | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/f4745129-f842-4e4a-82c9-f1b152f93292/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/61a20bb1-3dea-474c-8eef-13c187cb8d4e/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
|     1 | POST   | /api/organizer/competition/45c6a8a3-5ab8-4399-a1fc-4d44f316d08a/finish  | 0.020 |  0.020 |   0.020 | 0.020 |  0.020 |   0 |   1 |   0 |   0 |   0 |
